feature,importance
person_income,839
loan_int_rate,299
loan_percent_income,266
loan_amnt,248
person_age,215
person_emp_length,208
loan_grade_encoded,207
person_home_ownership_OWN,111
cb_person_cred_hist_length,107
person_home_ownership_RENT,102
loan_intent_MEDICAL,93
loan_intent_DEBTCONSOLIDATION,72
loan_intent_HOMEIMPROVEMENT,64
loan_intent_VENTURE,48
person_home_ownership_MORTGAGE,45
loan_intent_EDUCATION,30
loan_intent_PERSONAL,29
cb_person_default_on_file_encoded,14
person_home_ownership_OTHER,3
